Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,141.574544,109.33189,90.0,bottom
C2,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,142.641344,109.339889,90.0,bottom
C3,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,141.599944,107.13009,270.0,bottom
C4,680p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,130.372844,109.42479,0.0,bottom
C5,680p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,130.3949,111.05499,0.0,bottom
C6,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,135.868244,112.32039,0.0,bottom
C7,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,135.060944,115.98089,90.0,bottom
IC1,LX3302AQPW-TR,SOP65P640X120-14N,136.629944,108.76899,0.0,bottom
IC2,MCP6541T-I_OT,SOT95P270X145-5N,130.875344,116.36339,180.0,bottom
R4,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,129.676144,112.92419,0.0,bottom
R5,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,134.451344,117.90259,180.0,bottom
R6,56k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,133.740144,116.01089,90.0,bottom
U1,LMT01DQX,Texas_DQX002A,132.788544,112.92419,0.0,bottom
