Comment,Designator,Footprint,LCSC,Quantity
0.47u,C2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1623,1
10,"R20,R21,R22,R23",R_0402_1005Metric,C25077,4
100k,"R13,R14,R15,R24,R25",R_0402_1005Metric,C25741,5
100n,"C1,C10,C11,C15,C20,C21,C22,C3,C34,C35,C36,C41,C42,C5,C7,C87,Cbyp1",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1525,17
100p,C26,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1546,1
10k,"R10,R4,R5,R9",R_0402_1005Metric,C25744,4
10n,"C30,Cref1",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C15195,2
10p,"C24,C37,C38,C44,C47,C51,C53,C56,C59,C62,C65,C68,C70,C72",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C32949,14
12k,"R47,R49,R51,R53,R55,R57,R59,R61,R63,R65,R67,R69,R71,R73,R75,R77",R_0402_1005Metric,C25752,16
1k,R79,R_0402_1005Metric,C11702,1
1u,"C12,C13,C23,C39,C4,C40,C43,C45,C46,C48,C49,C50,C52,C54,C55,C57,C58,C60,C61,C63,C64,C66,C67,C69,C71,C73,C8",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C52923,27
200k,"R18,R19",R_0402_1005Metric,C25764,2
220,"R1,R30",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25091,2
22k,"R48,R50,R52,R54,R56,R58,R60,R62,R64,R66,R68,R70,R72,R74,R76,R78",R_0402_1005Metric,C25768,16
22u,C17,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C45783,1
2k2,"R6,R7",R_0402_1005Metric,C25879,2
"3,9M",Rok3,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C30329,1
3.3p,"C28,C29",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1565,2
33,"R28,R29",R_0402_1005Metric,C25105,2
"4,3M",Roc1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C327242,1
4.7M,Rout2,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C49654986,1
4.7u,C16,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C23733,1
4u7,"C6,C9",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C23733,2
"5,62M",Rov2,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C2929925,1
53398-0371,"J5,J6,J7,J8",533980371,C17246903,4
53398-0471,"J10,J11,J12,J13,J14,J15,J16,J9",533980471,C17617036,8
56k,"R31,R32",R_0402_1005Metric,C23206,2
"6,2M",Roc2,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C159000,1
"6,8M",Rok2,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C620473,1
"7,5M",Rov1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C137839,1
744031220,L4,WE-TPC_381692,C5523436,1
74479889310,L5,INDC2521X120N,C191565,1
"8,2M",Rout1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C172186,1
910k,Rok1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C324817,1
BAV199,"D1,D2,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D4",SOT95P230X100-3N,C145516,20
BLM15HG102SN1D,"FB1,FB2,FB3",NFZ15SG152SN10B,C76889,3
BQ25570,U2,QFN-20-1EP_3.5x3.5mm_P0.5mm_EP2x2mm,C506250,1
"C0805C475K9RACTU 4,7u",C31,C0805,C1779,1
CH340E,U3,MSOP-10_3x3mm_P0.5mm,C99652,1
DFE201612E-2R2M=P2,L2,1286ASH1R0MP2,C337893,1
GT-USB-7055BB,J17,GTUSB7055BB,C7450621,1
JMK212BJ226MG-T 22u,C33,CAPC2013X135N,C87158,1
KT-0603R,"LED1,LED2",LEDC1608X70N,C2286,2
LMK212B7475KG-T,C32,CAPC2012X135N,C92810,1
LQW15AN8N2J00D,L3,LQW15CNR20J00B,C98066,1
MLZ2012N150LT000,L1,INDC2012X105N,C531290,1
NCP115ASN330T2G,IC11,SOT95P275X110-5N,C603505,1
RAK3172-SiP,IC1,RAK3172SiP,C19818882,1
Reset(Black),B2,TS046655BK160SMT,C5340119,1
SN74HCS151PWR,"IC12,IC5",SOP65P640X120-16N,C2877065,2
TCA9534PWR,IC6,SOP65P640X120-16N,C783615,1
TMUX1204DGSR,IC7,SOP50P490X110-10N,C2840022,1
TMUX1219DCKR,"IC25,IC8,IC9",SOT65P210X110-6N,C2867958,3
TPS22917DBVR,"IC13,IC14,IC15,IC16,IC17,IC18,IC19,IC20,IC21,IC22,IC23,IC24",SOT95P280X145-6N,C2681320,12
TPS613222ADBVR,IC2,SOT95P280X145-5N,C2071163,1
U.FL-R-SMT-1_10_,J4,U.FL-R-SMT-1_10_,C88374,1
USBLC6-2SC6,IC10,SOT95P280X145-6N,C2827654,1
