Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
B2,Reset(Black),TS046655BK160SMT,55.789,-164.5632,-90.0,top
C1,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,67.800599,-163.008501,90.0,top
C10,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,73.007599,-163.008501,90.0,top
C11,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,77.8931,-172.0088,0.0,top
C12,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,77.893101,-174.040802,0.0,top
C13,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,77.893101,-173.024801,0.0,top
C15,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,54.1187,-162.1722,180.0,bottom
C16,4.7u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,99.926,-164.993,0.0,top
C17,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100.0545,-173.99,0.0,top
C2,0.47u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,68.588001,-160.148099,-90.0,top
C20,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,95.5635,-160.3248,0.0,top
C21,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,95.3603,-152.2984,180.0,top
C22,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,93.0148,-144.4585,90.0,top
C23,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,78.9432,-165.4469,-90.0,top
C24,10p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,80.5601,-163.4744,0.0,top
C26,100p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,73.176402,-182.888699,180.0,top
C28,3.3p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,70.331602,-182.329899,-90.0,top
C29,3.3p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,67.883695,-179.837213,180.0,top
C3,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,68.841999,-163.008501,90.0,top
C30,10n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,79.933799,-161.8909,90.0,top
C31,"C0805C475K9RACTU 4,7u",C0805,38.55286,-166.09194,90.0,top
C32,LMK212B7475KG-T,CAPC2012X135N,41.826861,-168.50794,0.0,top
C33,JMK212BJ226MG-T 22u,CAPC2013X135N,40.96586,-161.218141,90.0,top
C34,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,98.933,-184.7175,-90.0,top
C35,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,61.0703,-140.3604,0.0,top
C36,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,63.9746,-140.3604,0.0,top
C37,10p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,47.3381,-148.7678,0.0,top
C38,10p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,44.9505,-147.701,180.0,top
C39,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,53.34,-141.8336,-90.0,top
C4,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,69.883399,-160.722501,-90.0,top
C40,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,59.0804,-141.2661,-90.0,top
C41,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,58.7669,-148.4376,0.0,top
C42,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,59.0804,-143.5608,90.0,top
C43,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,125.7387,-161.0614,180.0,bottom
C44,10p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,125.6959,-159.9184,180.0,bottom
C45,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,128.0581,-159.9184,0.0,bottom
C46,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,126.1023,-167.386,180.0,bottom
C47,10p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,126.111,-166.3192,180.0,bottom
C48,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,128.3883,-166.3192,0.0,bottom
C49,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,126.0007,-174.4726,180.0,bottom
C5,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,69.883399,-163.017202,90.0,top
C50,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,112.7165,-145.6944,180.0,bottom
C51,10p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,112.7165,-144.6784,180.0,bottom
C52,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,115.0025,-144.6784,0.0,bottom
C53,10p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,126.0007,-173.4312,180.0,bottom
C54,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,128.2954,-173.4312,0.0,bottom
C55,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,112.4204,-179.9844,180.0,bottom
C56,10p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,112.4291,-178.943,180.0,bottom
C57,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,114.7151,-178.943,0.0,bottom
C58,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,112.2847,-171.9072,180.0,bottom
C59,10p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,112.2847,-170.8912,180.0,bottom
C6,4u7,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,70.924799,-160.722501,-90.0,top
C60,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,114.5707,-170.8912,0.0,bottom
C61,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,112.3863,-162.7712,180.0,bottom
C62,10p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,112.3863,-161.7298,180.0,bottom
C63,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,114.7151,-161.7298,0.0,bottom
C64,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,112.3101,-154.6098,180.0,bottom
C65,10p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,112.3181,-153.5176,180.0,bottom
C66,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,114.6215,-153.5176,0.0,bottom
C67,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,94.1832,-164.973,90.0,top
C68,10p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,96.0628,-164.9643,-90.0,top
C69,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,81.0935,-169.67635,0.0,top
C7,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,70.924799,-163.017202,90.0,top
C70,10p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,82.6603,-174.50235,0.0,top
C71,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,93.6498,-180.8901,-90.0,top
C72,10p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,97.0026,-176.5213,90.0,top
C73,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,94.225301,-174.743299,0.0,top
C8,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,71.966201,-163.0259,90.0,top
C87,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,37.8881,-153.9748,0.0,top
C9,4u7,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,73.007599,-160.721801,-90.0,top
CN1,Conn_01x06_Pin,PinSocket_1x06_P2.54mm_Vertical,54.381,-152.7306,90.0,top
Cbyp1,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,40.6908,-166.0565,90.0,top
Cref1,10n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,45.53786,-169.13544,90.0,top
D1,BAV199,SOT95P230X100-3N,89.4256,-146.6596,180.0,bottom
D2,BAV199,SOT95P230X100-3N,89.4764,-158.5976,180.0,bottom
D21,BAV199,SOT95P230X100-3N,122.344,-159.07,0.0,bottom
D22,BAV199,SOT95P230X100-3N,122.334199,-166.3446,0.0,bottom
D23,BAV199,SOT95P230X100-3N,122.318885,-173.436977,0.0,bottom
D24,BAV199,SOT95P230X100-3N,108.7804,-178.5112,0.0,bottom
D25,BAV199,SOT95P230X100-3N,108.80148,-170.014745,0.0,bottom
D26,BAV199,SOT95P230X100-3N,108.882,-161.2036,0.0,bottom
D27,BAV199,SOT95P230X100-3N,108.78191,-152.727207,0.0,bottom
D28,BAV199,SOT95P230X100-3N,108.7882,-144.2212,0.0,bottom
D29,BAV199,SOT95P230X100-3N,118.28,-159.07,0.0,bottom
D3,BAV199,SOT95P230X100-3N,89.5272,-170.688,180.0,bottom
D30,BAV199,SOT95P230X100-3N,118.244799,-166.3446,0.0,bottom
D31,BAV199,SOT95P230X100-3N,118.3562,-173.4464,0.0,bottom
D32,BAV199,SOT95P230X100-3N,104.731999,-178.5112,0.0,bottom
D33,BAV199,SOT95P230X100-3N,104.7926,-170.0174,0.0,bottom
D34,BAV199,SOT95P230X100-3N,104.8688,-161.224,0.0,bottom
D35,BAV199,SOT95P230X100-3N,104.792297,-152.729387,0.0,bottom
D36,BAV199,SOT95P230X100-3N,104.808199,-144.2212,0.0,bottom
D4,BAV199,SOT95P230X100-3N,89.4764,-182.88,180.0,bottom
FB1,BLM15HG102SN1D,NFZ15SG152SN10B,67.064,-160.610602,-90.0,top
FB2,BLM15HG102SN1D,NFZ15SG152SN10B,77.98576,-170.303177,180.0,top
FB3,BLM15HG102SN1D,NFZ15SG152SN10B,77.9844,-175.8188,180.0,top
H1,MountingHole,MountingHole_3.2mm_M3,123.8702,-179.406177,0.0,top
H2,MountingHole,MountingHole_3.2mm_M3,28.8702,-179.406177,0.0,top
H3,MountingHole,MountingHole_3.2mm_M3,123.8702,-151.406177,0.0,top
H4,MountingHole,MountingHole_3.2mm_M3,28.8702,-151.406177,0.0,top
IC1,RAK3172-SiP,RAK3172SiP,69.4304,-171.515002,-90.0,top
IC10,USBLC6-2SC6,SOT95P280X145-6N,50.693,-148.9862,0.0,top
IC11,NCP115ASN330T2G,SOT95P275X110-5N,56.2048,-142.174,0.0,top
IC12,SN74HCS151PWR,SOP65P640X120-16N,98.044,-142.748,180.0,top
IC13,TPS22917DBVR,SOT95P280X145-6N,127.028,-157.5968,180.0,bottom
IC14,TPS22917DBVR,SOT95P280X145-6N,127.3723,-163.9824,180.0,bottom
IC15,TPS22917DBVR,SOT95P280X145-6N,127.2689,-171.0778,180.0,bottom
IC16,TPS22917DBVR,SOT95P280X145-6N,113.7358,-176.596,180.0,bottom
IC17,TPS22917DBVR,SOT95P280X145-6N,113.558,-168.5442,180.0,bottom
IC18,TPS22917DBVR,SOT95P280X145-6N,113.7024,-159.3574,180.0,bottom
IC19,TPS22917DBVR,SOT95P280X145-6N,113.6088,-151.1706,180.0,bottom
IC2,TPS613222ADBVR,SOT95P280X145-5N,99.9935,-170.454,-90.0,top
IC20,TPS22917DBVR,SOT95P280X145-6N,113.9898,-142.3314,180.0,bottom
IC21,TPS22917DBVR,SOT95P280X145-6N,81.5794,-165.8264,0.0,top
IC22,TPS22917DBVR,SOT95P280X145-6N,95.1128,-168.5998,90.0,top
IC23,TPS22917DBVR,SOT95P280X145-6N,81.985801,-172.08935,0.0,top
IC24,TPS22917DBVR,SOT95P280X145-6N,94.617401,-177.5253,90.0,top
IC25,TMUX1219DCKR,SOT65P210X110-6N,38.4462,-151.3944,90.0,top
IC5,SN74HCS151PWR,SOP65P640X120-16N,98.027,-148.9092,180.0,top
IC6,TCA9534PWR,SOP65P640X120-16N,97.9424,-156.729,180.0,top
IC7,TMUX1204DGSR,SOP50P490X110-10N,96.535999,-186.35,90.0,top
IC8,TMUX1219DCKR,SOT65P210X110-6N,63.9763,-142.7836,-90.0,top
IC9,TMUX1219DCKR,SOT65P210X110-6N,61.0807,-142.8344,-90.0,top
J1,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,66.8528,-153.288999,0.0,top
J10,53398-0471,533980471,122.698799,-165.692389,0.0,top
J11,53398-0471,533980471,122.7118,-172.838401,0.0,top
J12,53398-0471,533980471,109.176788,-177.842959,0.0,top
J13,53398-0471,533980471,109.199,-169.384001,0.0,top
J14,53398-0471,533980471,109.247133,-160.582001,0.0,top
J15,53398-0471,533980471,109.199,-152.024001,0.0,top
J16,53398-0471,533980471,109.199,-143.554,0.0,top
J17,GT-USB-7055BB,GTUSB7055BB,48.0703,-143.3666,0.0,top
J2,B2B-PH-K-S,SHDR2W50P0X200_1X2_590X450X600P,33.0962,-158.607,-90.0,top
J3,Conn_01x02_Socket,Samtec_HPM-02-05-x-S_Straight_1x02_Pitch5.08mm,32.4866,-168.330172,180.0,top
J4,U.FL-R-SMT-1_10_,U.FL-R-SMT-1_10_,77.122,-182.888699,90.0,top
J5,53398-0371,533980371,88.1685,-146.68,-90.0,top
J6,53398-0371,533980371,88.16,-158.689,-90.0,top
J7,53398-0371,533980371,88.157167,-170.729999,-90.0,top
J8,53398-0371,533980371,88.16,-182.899999,-90.0,top
J9,53398-0471,533980471,122.712,-158.4418,0.0,top
JP2,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,62.517399,-162.418001,-90.0,top
JP4,SolderJumper_3_Bridged12,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm,81.2084,-151.7904,0.0,bottom
JP5,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,73.751199,-151.7904,0.0,bottom
JP6,SolderJumper_3_Bridged12,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels,44.11086,-160.50694,180.0,top
JP7,SolderJumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,99.695,-187.818001,-90.0,top
